,Subject,Time,Task,ReactionTime,Performance
387,6646.0,Infinite,Absolute,1.252521835524461,0.5172413793103449
388,6646.0,Infinite,Pointing,1.2783578236897783,0.6666666666666666
389,6646.0,Infinite,Relative,1.599586420589023,0.5277777777777778
390,6744.0,3sec,Absolute,1.8202780655452189,0.6285714285714286
391,6744.0,3sec,Pointing,1.5633962364757765,0.4411764705882353
392,6744.0,3sec,Relative,1.5632065667046442,0.5555555555555556
393,6744.0,Infinite,Absolute,1.8202780655452189,0.6285714285714286
394,6744.0,Infinite,Pointing,6.704672238406013,0.6764705882352942
395,6744.0,Infinite,Relative,4.75456973579195,0.5277777777777778
396,6812.0,3sec,Absolute,1.85145403444767,0.46875
397,6812.0,3sec,Pointing,1.8603957638596038,0.3333333333333333
398,6812.0,3sec,Relative,1.8413669347763066,0.5666666666666667
399,6812.0,Infinite,Absolute,1.85145403444767,0.46875
400,6812.0,Infinite,Pointing,4.957670327155818,0.5806451612903226
401,6812.0,Infinite,Relative,5.832539073626203,0.6
402,7093.0,3sec,Absolute,2.149211502075196,0.6857142857142857
403,7093.0,3sec,Pointing,1.855330126626151,0.6
404,7093.0,3sec,Relative,2.0713985544262505,0.5454545454545454
405,7093.0,Infinite,Absolute,2.149211502075196,0.6857142857142857
406,7093.0,Infinite,Pointing,4.8523113131523115,0.6111111111111112
407,7093.0,Infinite,Relative,5.671605757304602,0.7142857142857143
408,7396.0,3sec,Absolute,1.059771900591643,0.43478260869565216
409,7396.0,3sec,Pointing,0.920813629704137,0.5161290322580645
410,7396.0,3sec,Relative,0.8587691399358934,0.3870967741935484
411,7396.0,Infinite,Absolute,1.059771900591643,0.43478260869565216
412,7396.0,Infinite,Pointing,1.0463047093815279,0.5555555555555556
413,7396.0,Infinite,Relative,0.9756228725115458,0.6944444444444444
414,7405.0,3sec,Absolute,2.0234080840801365,0.5862068965517241
415,7405.0,3sec,Pointing,1.850250282287597,0.32
